Year,Month,Day,Unnamed: 0,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2014,2,5,35.0,0.0,0.0,0.0,0.0,26.366666666666664,31.133333333333336,23.233333333333334,9.966666666666667,30.366666666666664
2014,2,6,36.0,0.0,0.0,0.0,0.0,26.53333333333333,31.53333333333333,23.366666666666664,9.266666666666667,28.53333333333333
2014,2,7,37.0,0.0,0.0,0.0,0.0,26.7,31.700000000000003,24.03333333333333,8.766666666666666,25.8
2014,2,8,38.0,2.8666666666666667,1.8,1.866666666666667,2.7999999999999994,26.766666666666666,31.8,24.166666666666668,8.033333333333333,24.0
2014,2,9,39.0,0.0,0.0,0.0,0.0,27.333333333333332,31.933333333333337,24.666666666666668,8.133333333333333,22.566666666666666
2014,2,10,40.0,0.0,0.0,0.0,0.0,27.7,33.13333333333333,24.8,8.133333333333333,24.833333333333332
2014,2,11,41.0,0.0,0.0,0.0,0.0,27.566666666666666,32.233333333333334,25.099999999999998,9.566666666666666,28.7
2014,2,12,42.0,0.0,0.0,0.0,0.0,27.5,32.43333333333334,24.7,10.366666666666667,33.233333333333334
2014,2,13,43.0,1.5999999999999999,0.7999999999999999,1.2666666666666666,1.5999999999999999,27.833333333333332,32.96666666666667,25.366666666666664,10.233333333333333,36.1
2014,2,14,44.0,16.8,8.666666666666666,12.266666666666666,16.400000000000002,27.233333333333334,31.866666666666664,24.03333333333333,9.833333333333334,33.0
2014,2,15,45.0,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998,27.566666666666666,32.233333333333334,24.96666666666667,11.033333333333333,38.4
2014,2,16,46.0,0.19999999999999998,0.06666666666666667,0.13333333333333333,0.19999999999999998,27.433333333333334,32.199999999999996,24.833333333333332,10.200000000000001,33.233333333333334
2014,2,17,47.0,0.0,0.0,0.0,0.0,27.666666666666668,31.833333333333332,25.366666666666664,10.666666666666666,30.0
2014,2,18,48.0,0.0,0.0,0.0,0.0,27.633333333333336,32.53333333333333,25.066666666666666,10.133333333333333,31.799999999999997
2014,2,19,49.0,0.0,0.0,0.0,0.0,27.666666666666668,32.0,24.766666666666666,8.633333333333333,28.066666666666666
2014,2,20,50.0,0.0,0.0,0.0,0.0,27.8,32.166666666666664,25.03333333333333,11.366666666666667,36.0
2014,2,21,51.0,0.0,0.0,0.0,0.0,27.633333333333336,31.2,25.599999999999998,12.4,39.0
2014,2,22,52.0,0.0,0.0,0.0,0.0,27.900000000000002,32.800000000000004,25.03333333333333,12.1,37.300000000000004
2014,2,23,53.0,0.0,0.0,0.0,0.0,27.399999999999995,32.300000000000004,24.53333333333333,9.799999999999999,37.56666666666666
2014,2,24,54.0,0.0,0.0,0.0,0.0,27.233333333333334,32.0,24.3,10.833333333333334,36.13333333333333
2014,2,25,55.0,0.0,0.0,0.0,0.0,26.96666666666667,31.833333333333332,23.833333333333332,10.166666666666666,34.233333333333334
2014,2,26,56.0,0.0,0.0,0.0,0.0,27.433333333333334,32.06666666666667,24.400000000000002,10.9,33.86666666666667
2014,2,27,57.0,0.0,0.0,0.0,0.0,27.666666666666668,32.93333333333333,24.599999999999998,10.933333333333332,36.233333333333334
2014,2,28,58.0,0.0,0.0,0.0,0.0,27.950000000000003,32.650000000000006,25.05,10.299999999999999,33.833333333333336
2014,3,1,59.0,0.0,0.0,0.0,0.0,27.46666666666667,32.53333333333333,24.866666666666664,10.1,33.46666666666667
2014,3,2,60.0,0.0,0.0,0.0,0.0,27.833333333333332,33.06666666666667,24.599999999999998,8.833333333333334,28.566666666666663
2014,3,3,61.0,0.0,0.0,0.0,0.0,27.766666666666666,32.93333333333333,24.8,8.5,31.666666666666668
2014,3,4,62.0,0.0,0.0,0.0,0.0,27.7,32.733333333333334,24.733333333333334,9.366666666666667,30.46666666666667
