DateTime,USEP (Milligrams of gold/MWh),DEMAND (MW),Total Population (Number),Holiday,Day
2019-09-06 09:00:00,471.8058514931397,6775.074,5703569.0,1,5
2019-09-06 09:30:00,485.8882163034705,6867.998,5703569.0,1,5
2019-09-06 10:00:00,547.7200564971752,6944.099,5703569.0,1,5
2019-09-06 10:30:00,578.0764124293786,6989.341,5703569.0,1,5
2019-09-06 11:00:00,658.0474576271187,7016.288,5703569.0,1,5
2019-09-06 11:30:00,578.1696731234867,6997.034,5703569.0,1,5
2019-09-06 12:00:00,496.1935230024213,6947.94,5703569.0,1,5
2019-09-06 12:30:00,486.1213680387409,6884.31,5703569.0,1,5
2019-09-06 13:00:00,486.774192897498,6897.883,5703569.0,1,5
2019-09-06 13:30:00,496.1935230024213,6938.244,5703569.0,1,5
2019-09-06 14:00:00,745.0596852300242,6985.534,5703569.0,1,5
2019-09-06 14:30:00,649.7472558514933,6980.822,5703569.0,1,5
2019-09-06 15:00:00,540.212570621469,6977.214,5703569.0,1,5
2019-09-06 15:30:00,531.0730225988701,6970.316,5703569.0,1,5
2019-09-06 16:00:00,532.0522598870057,6973.566,5703569.0,1,5
2019-09-06 16:30:00,558.9579701372074,6944.67,5703569.0,1,5
2019-09-06 17:00:00,540.1659402744149,6921.684,5703569.0,1,5
2019-09-06 17:30:00,485.8882163034705,6844.634,5703569.0,1,5
2019-09-06 18:00:00,432.77625100887815,6739.2,5703569.0,1,5
2019-09-06 18:30:00,428.5328894269573,6661.649,5703569.0,1,5
2019-09-06 19:00:00,430.7245157384989,6664.482,5703569.0,1,5
2019-09-06 19:30:00,430.86440677966107,6663.637,5703569.0,1,5
2019-09-06 20:00:00,430.5379943502825,6645.089,5703569.0,1,5
2019-09-06 20:30:00,432.4032082324456,6606.208,5703569.0,1,5
2019-09-06 21:00:00,433.5689669087974,6569.147,5703569.0,1,5
2019-09-06 21:30:00,428.5795197740113,6520.421,5703569.0,1,5
2019-09-06 22:00:00,429.41886602098464,6409.088,5703569.0,1,5
2019-09-06 22:30:00,424.61594027441487,6293.392,5703569.0,1,5
2019-09-06 23:00:00,427.74017352703794,6183.709,5703569.0,1,5
2019-09-06 23:30:00,413.5179176755448,6076.083,5703569.0,1,5
2019-09-07 00:00:00,409.3987624428302,5954.413,5703569.0,1,6
2019-09-07 00:30:00,430.0877051385526,5842.369,5703569.0,1,6
2019-09-07 01:00:00,409.35216572504703,5729.744,5703569.0,1,6
2019-09-07 01:30:00,387.4051116491794,5639.305,5703569.0,1,6
2019-09-07 02:00:00,373.7056766209308,5552.588,5703569.0,1,6
2019-09-07 02:30:00,368.3470540758677,5493.395,5703569.0,1,6
2019-09-07 03:00:00,339.5502824858757,5416.047,5703569.0,1,6
2019-09-07 03:30:00,330.8366962604251,5378.295,5703569.0,1,6
2019-09-07 04:00:00,326.0838310465429,5340.473,5703569.0,1,6
2019-09-07 04:30:00,323.8005918751681,5309.585,5703569.0,1,6
2019-09-07 05:00:00,324.45294592413234,5310.42,5703569.0,1,6
2019-09-07 05:30:00,324.1733656174334,5339.5,5703569.0,1,6
2019-09-07 06:00:00,326.13042776432604,5396.51,5703569.0,1,6
2019-09-07 06:30:00,330.8366962604251,5468.407,5703569.0,1,6
2019-09-07 07:00:00,334.05186978746303,5542.355,5703569.0,1,6
2019-09-07 07:30:00,335.58956147430723,5620.916,5703569.0,1,6
2019-09-07 08:00:00,358.0025827280065,5792.833,5703569.0,1,6
2019-09-07 08:30:00,370.816680118375,6010.658,5703569.0,1,6
2019-09-07 09:00:00,370.816680118375,6165.012,5703569.0,1,6
2019-09-07 09:30:00,376.7810599946193,6267.011,5703569.0,1,6
2019-09-07 10:00:00,376.8276567124025,6353.643,5703569.0,1,6
2019-09-07 10:30:00,377.2936238902341,6417.602,5703569.0,1,6
2019-09-07 11:00:00,377.1072370191015,6440.479,5703569.0,1,6
2019-09-07 11:30:00,377.1072370191015,6436.92,5703569.0,1,6
2019-09-07 12:00:00,376.87425343018566,6376.709,5703569.0,1,6
2019-09-07 12:30:00,376.87425343018566,6331.288,5703569.0,1,6
2019-09-07 13:00:00,372.5407586763519,6289.46,5703569.0,1,6
2019-09-07 13:30:00,370.95647027172447,6267.751,5703569.0,1,6
2019-09-07 14:00:00,368.5334409470003,6250.019,5703569.0,1,6
2019-09-07 14:30:00,368.5334409470003,6227.708,5703569.0,1,6
2019-09-07 15:00:00,372.3543718052193,6215.159,5703569.0,1,6
2019-09-07 15:30:00,403.8537530266344,6195.895,5703569.0,1,6
2019-09-07 16:00:00,396.0721011568469,6190.403,5703569.0,1,6
2019-09-07 16:30:00,396.1186978746301,6178.356,5703569.0,1,6
2019-09-07 17:00:00,394.7673930589185,6148.288,5703569.0,1,6
2019-09-07 17:30:00,394.627602905569,6129.248,5703569.0,1,6
2019-09-07 18:00:00,394.67419962335214,6127.528,5703569.0,1,6
2019-09-07 18:30:00,396.02550443906375,6151.359,5703569.0,1,6
2019-09-07 19:00:00,422.585633575464,6209.419,5703569.0,1,6
2019-09-07 19:30:00,439.4536454129674,6256.529,5703569.0,1,6
2019-09-07 20:00:00,429.8547215496368,6250.754,5703569.0,1,6
2019-09-07 20:30:00,430.2274952919021,6243.056,5703569.0,1,6
2019-09-07 21:00:00,435.8656981436644,6247.086,5703569.0,1,6
2019-09-07 21:30:00,430.2274952919021,6231.247,5703569.0,1,6
2019-09-07 22:00:00,422.585633575464,6144.495,5703569.0,1,6
2019-09-07 22:30:00,424.1699219800915,6058.833,5703569.0,1,6
2019-09-07 23:00:00,422.6788270110304,5979.959,5703569.0,1,6
2019-09-07 23:30:00,414.5709981167609,5889.684,5703569.0,1,6
2019-09-08 00:00:00,397.7870863599677,5754.683,5703569.0,1,7
2019-09-08 00:30:00,381.6229217110573,5618.799,5703569.0,1,7
2019-09-08 01:00:00,375.7239305891848,5513.708,5703569.0,1,7
2019-09-08 01:30:00,378.8824455205811,5462.656,5703569.0,1,7
2019-09-08 02:00:00,354.40395480225993,5382.59,5703569.0,1,7
2019-09-08 02:30:00,354.26460855528654,5335.951,5703569.0,1,7
2019-09-08 03:00:00,328.39265536723167,5289.283,5703569.0,1,7
2019-09-08 03:30:00,318.1274818401937,5235.448,5703569.0,1,7
2019-09-08 04:00:00,318.0810330912026,5201.622,5703569.0,1,7
2019-09-08 04:30:00,317.3378531073446,5185.241,5703569.0,1,7
2019-09-08 05:00:00,317.98813559322025,5200.335,5703569.0,1,7
2019-09-08 05:30:00,319.1493543179983,5232.441,5703569.0,1,7
2019-09-08 06:00:00,323.88712671509285,5276.545,5703569.0,1,7
2019-09-08 06:30:00,323.0046004842615,5325.141,5703569.0,1,7
2019-09-08 07:00:00,324.8625504439064,5354.534,5703569.0,1,7
2019-09-08 07:30:00,329.08938660209844,5394.319,5703569.0,1,7
2019-09-08 08:00:00,355.565173527038,5474.142,5703569.0,1,7
2019-09-08 08:30:00,360.21004842615014,5576.3,5703569.0,1,7
2019-09-08 09:00:00,380.4617029862793,5689.084,5703569.0,1,7
2019-09-08 09:30:00,381.2977804681194,5799.1,5703569.0,1,7
2019-09-08 10:00:00,383.9918079096045,5870.549,5703569.0,1,7
2019-09-08 10:30:00,389.70500403551256,5938.34,5703569.0,1,7
2019-09-08 11:00:00,507.1738902340597,5964.07,5703569.0,1,7
2019-09-08 11:30:00,483.5314769975787,5949.657,5703569.0,1,7
2019-09-08 12:00:00,483.4850282485876,5930.646,5703569.0,1,7
2019-09-08 12:30:00,459.8890637610977,5912.948,5703569.0,1,7
2019-09-08 13:00:00,478.79370460048426,5925.721,5703569.0,1,7
2019-09-08 13:30:00,480.930347054076,5943.519,5703569.0,1,7
2019-09-08 14:00:00,502.0645278450364,5969.979,5703569.0,1,7
2019-09-08 14:30:00,503.31864406779664,5963.21,5703569.0,1,7
2019-09-08 15:00:00,495.3759079903148,5960.948,5703569.0,1,7
2019-09-08 15:30:00,483.43857949959647,5957.788,5703569.0,1,7
2019-09-08 16:00:00,473.8236884584342,5947.331,5703569.0,1,7
2019-09-08 16:30:00,473.2663034705408,5938.017,5703569.0,1,7
2019-09-08 17:00:00,473.2663034705408,5924.747,5703569.0,1,7
2019-09-08 17:30:00,459.79616626311537,5944.597,5703569.0,1,7
2019-09-08 18:00:00,473.21985472154967,5955.422,5703569.0,1,7
2019-09-08 18:30:00,473.2663034705408,6010.763,5703569.0,1,7
2019-09-08 19:00:00,507.0809927360775,6128.04,5703569.0,1,7
2019-09-08 19:30:00,507.0345439870864,6204.364,5703569.0,1,7
2019-09-08 20:00:00,464.6268361581921,6240.869,5703569.0,1,7
2019-09-08 20:30:00,478.79370460048426,6253.06,5703569.0,1,7
2019-09-08 21:00:00,501.553591606134,6298.948,5703569.0,1,7
2019-09-08 21:30:00,498.2557304277643,6290.042,5703569.0,1,7
2019-09-08 22:00:00,454.4545601291365,6203.584,5703569.0,1,7
2019-09-08 22:30:00,430.11541565778856,6074.14,5703569.0,1,7
2019-09-08 23:00:00,422.8694108151736,5987.747,5703569.0,1,7
2019-09-08 23:30:00,422.6836158192091,5873.133,5703569.0,1,7
2019-09-09 00:00:00,412.62904223836426,5758.605,5703569.0,1,1
2019-09-09 00:30:00,426.5493946731235,5644.523,5703569.0,1,1
2019-09-09 01:00:00,386.9764864137746,5534.721,5703569.0,1,1
2019-09-09 01:30:00,374.1269303201507,5448.348,5703569.0,1,1
2019-09-09 02:00:00,352.85067258541847,5365.17,5703569.0,1,1
2019-09-09 02:30:00,350.42974172719937,5325.678,5703569.0,1,1
2019-09-09 03:00:00,334.5074656981437,5281.569,5703569.0,1,1
2019-09-09 03:30:00,334.2281275221954,5259.408,5703569.0,1,1
2019-09-09 04:00:00,323.9857277374227,5239.777,5703569.0,1,1
2019-09-09 04:30:00,323.8926150121065,5234.031,5703569.0,1,1
2019-09-09 05:00:00,323.70638956147434,5264.492,5703569.0,1,1
2019-09-09 05:30:00,334.5074656981437,5339.862,5703569.0,1,1
2019-09-09 06:00:00,367.4693704600485,5497.958,5703569.0,1,1
2019-09-09 06:30:00,385.3470137207426,5694.189,5703569.0,1,1
2019-09-09 07:00:00,374.9649448479958,5856.524,5703569.0,1,1
2019-09-09 07:30:00,381.669061070756,6040.488,5703569.0,1,1
2019-09-09 08:00:00,428.8772128060264,6320.463,5703569.0,1,1
2019-09-09 08:30:00,471.0107210115685,6647.812,5703569.0,1,1
2019-09-09 09:00:00,460.90799031477,6821.007,5703569.0,1,1
2019-09-09 09:30:00,456.01957223567393,6919.204,5703569.0,1,1
2019-09-09 10:00:00,422.21965294592417,6982.457,5703569.0,1,1
2019-09-09 10:30:00,443.21657250470815,7043.628,5703569.0,1,1
2019-09-09 11:00:00,443.91491794457903,7039.677,5703569.0,1,1
2019-09-09 11:30:00,455.2746704331451,7043.961,5703569.0,1,1
2019-09-09 12:00:00,443.076903416734,6983.869,5703569.0,1,1
2019-09-09 12:30:00,429.2031073446328,6930.74,5703569.0,1,1
2019-09-09 13:00:00,429.2496637072909,6929.696,5703569.0,1,1
2019-09-09 13:30:00,447.0807506053269,6987.229,5703569.0,1,1
